/usr/local/lib/python3.12/dist-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
Values: median over runs. Ratios: median of the per-run ratios against FLASH_ATTN, the per-run ratios in brackets. Rows with fewer runs than the others are incomplete.
126 accepted cases, measured with 1 distinct set(s) of source files.

### latency (TinyLlama/TinyLlama-1.1B-Chat-v1.0, eager)

| input | C | config | runs | TTFT p50 ms | TTFT p99 ms | TPOT p50 ms | E2E p50 ms | out tok/s | TTFT ratio | TPOT ratio | tok/s ratio |
| 512 | 16 | FLASH_ATTN | 3 | 202.0 | 780.8 | 14.66 | 2118 | 952.8 | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] |
| 512 | 16 | SCRATCH_DECODE | 3 | 279.3 | 783.4 | 13.20 | 1926 | 1026.2 | 0.984 [0.899 / 0.984 / 1.557] | 0.888 [0.977 / 0.888 / 0.820] | 1.098 [1.041 / 1.098 / 1.171] |
| 512 | 16 | SCRATCH_FULL | 3 | 242.7 | 656.0 | 12.51 | 1775 | 1102.0 | 1.201 [1.201 / 0.863 / 1.298] | 0.853 [0.905 / 0.796 / 0.853] | 1.157 [1.106 / 1.220 / 1.157] |
| 512 | 32 | FLASH_ATTN | 3 | 327.7 | 1133.2 | 17.43 | 2554 | 1599.3 | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] |
| 512 | 32 | SCRATCH_DECODE | 3 | 330.3 | 1154.1 | 15.89 | 2326 | 1717.3 | 1.008 [1.008 / 0.882 / 1.074] | 0.891 [0.916 / 0.891 / 0.877] | 1.082 [1.067 / 1.122 / 1.082] |
| 512 | 32 | SCRATCH_FULL | 3 | 307.5 | 1171.5 | 15.54 | 2258 | 1779.2 | 0.939 [0.915 / 0.939 / 1.000] | 0.893 [0.893 / 0.851 / 0.917] | 1.116 [1.116 / 1.162 / 1.080] |

### long_context (Qwen/Qwen2.5-0.5B-Instruct, eager)

| input | C | config | runs | TTFT p50 ms | TTFT p99 ms | TPOT p50 ms | E2E p50 ms | out tok/s | TTFT ratio | TPOT ratio | tok/s ratio |
|---:|---:|---|---:|---:|---:|---:|---:|---:|---|---|---|
| 2048 | 1 | FLASH_ATTN | 3 | 63.1 | 178.8 | 14.41 | 1894 | 67.7 | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] |
| 2048 | 1 | SCRATCH_DECODE | 3 | 62.6 | 169.4 | 13.12 | 1734 | 73.4 | 0.998 [0.998 / 1.004 / 0.984] | 0.904 [0.911 / 0.883 / 0.904] | 1.098 [1.085 / 1.098 / 1.118] |
| 2048 | 1 | SCRATCH_FULL | 3 | 60.8 | 192.8 | 13.16 | 1734 | 75.3 | 0.955 [1.015 / 0.953 / 0.955] | 0.918 [1.031 / 0.918 / 0.860] | 1.116 [0.998 / 1.116 / 1.150] |
| 4096 | 1 | FLASH_ATTN | 3 | 129.0 | 222.1 | 14.83 | 2016 | 63.4 | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] |
| 4096 | 1 | SCRATCH_DECODE | 3 | 128.1 | 249.3 | 12.97 | 1774 | 70.2 | 0.994 [1.005 / 0.994 / 0.973] | 0.875 [0.870 / 0.875 / 0.883] | 1.107 [1.114 / 1.107 / 1.104] |
| 4096 | 1 | SCRATCH_FULL | 3 | 122.3 | 230.3 | 13.11 | 1797 | 71.1 | 0.947 [0.949 / 0.947 / 0.941] | 0.876 [0.908 / 0.859 / 0.876] | 1.121 [1.067 / 1.163 / 1.121] |
| 8192 | 1 | FLASH_ATTN | 3 | 286.0 | 404.4 | 14.29 | 2100 | 62.0 | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] |
| 8192 | 1 | SCRATCH_DECODE | 3 | 285.8 | 394.3 | 12.85 | 1918 | 66.0 | 0.998 [1.026 / 0.998 / 0.998] | 0.900 [0.900 / 0.899 / 0.910] | 1.071 [1.071 / 1.051 / 1.099] |
| 8192 | 1 | SCRATCH_FULL | 3 | 274.3 | 419.1 | 13.05 | 1929 | 65.2 | 0.961 [0.967 / 0.958 / 0.961] | 0.914 [0.949 / 0.899 / 0.914] | 1.078 [1.032 / 1.087 / 1.078] |
| 16384 | 1 | FLASH_ATTN | 3 | 722.8 | 831.6 | 14.70 | 2599 | 49.6 | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] |
| 16384 | 1 | SCRATCH_DECODE | 3 | 724.0 | 820.6 | 12.94 | 2379 | 53.4 | 1.001 [1.021 / 0.999 / 1.001] | 0.890 [0.859 / 0.896 / 0.890] | 1.083 [1.088 / 1.083 / 1.066] |
| 16384 | 1 | SCRATCH_FULL | 3 | 689.7 | 818.3 | 13.22 | 2369 | 53.2 | 0.953 [0.955 / 0.951 / 0.953] | 0.899 [0.880 / 0.938 / 0.899] | 1.069 [1.111 / 1.069 / 1.066] |
| 32640 | 1 | FLASH_ATTN | 3 | 2063.1 | 2193.0 | 14.37 | 3886 | 32.8 | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] | 1.000 [1.000 / 1.000 / 1.000] |
| 32640 | 1 | SCRATCH_DECODE | 3 | 2062.7 | 2179.4 | 12.65 | 3677 | 34.8 | 1.000 [1.003 / 0.998 / 1.000] | 0.885 [0.844 / 0.885 / 0.938] | 1.061 [1.075 / 1.061 / 1.030] |
| 32640 | 1 | SCRATCH_FULL | 3 | 1958.0 | 2081.2 | 13.10 | 3635 | 35.3 | 0.949 [0.949 / 0.950 / 0.947] | 0.899 [0.899 / 0.889 / 0.987] | 1.084 [1.084 / 1.087 / 1.047] |

### routes inside the measured windows, tokens per layer summed over all accepted cases

- FLASH_ATTN (42 cases): flash_calls=0, generation_tokens_total=442368, prompt_tokens_total=13737984, request_success_total=3456, scratch_decode_calls=0
- SCRATCH_DECODE (42 cases): flash_calls=176376, generation_tokens_total=442368, prompt_tokens_total=13737984, request_success_total=3456, scratch_decode_calls=5671966
- SCRATCH_FULL (42 cases): flash_calls=0, generation_tokens_total=442368, prompt_tokens_total=13737984, request_success_total=3456, route_calls.decode_in_mixed=591, route_calls.decode_only=246710, route_calls.flash_fallback=0, route_calls.prefill_dense=3456, route_calls.prefill_paged=5182, route_tokens.decode_in_mixed=6857, route_tokens.decode_only=432068, route_tokens.flash_fallback=0, route_tokens.prefill_dense=3530464, route_tokens.prefill_paged=10207507, scratch_decode_calls=5684462
