# gpu: NVIDIA GeForce RTX 4060 Ti
# dtype: fp32
# batch: 1, heads: 8, head_dim: 64
# date: 2026-03-15T03:01:11.435931
# torch: 2.10.0+cu128, cuda: 12.8
batch,heads,seq_len,head_dim,naive_ms,flash_ms,speedup,naive_mem_mb,flash_mem_mb,mem_save
1,8,128,64,0.7670,0.6307,1.22,12.6,11.1,1.13
1,8,256,64,0.7840,0.5816,1.35,21.6,14.1,1.53
1,8,512,64,0.7363,1.8049,0.41,55.2,20.2,2.74
1,8,1024,64,2.2819,4.0371,0.57,182.2,32.2,5.66
1,8,2048,64,9.0131,14.7392,0.61,676.2,56.2,12.02
1,8,4096,64,35.3490,56.1464,0.63,2624.4,104.4,25.14
